"travis_id";"ght_id";"watchers";"slug";"lang";"created_at";"last_build_finished_at";"order";"project_found";"log_found";"travis_present";"first_t_commit";"last_t_commit";"active";"last_build_duration";"yml_contribs";"yml_commits";"job_count";"repo_id";"build_id";"last_build";"commits";"contribs";"last_commit";"build_count";"first_build";"yml_deleted";"travis_abandoned";"builds_period";"travis_period";"pushes";"PRs";"project_age";"abandoned";"commit_time_after_last_build";"abandoned_and_alive"
7829;7970;347;"adelevie/parse-ruby-client";"Ruby";2012-02-04;"2017-02-22";8964;1;1;1;"2012-02-17";"2017-02-13";1;519;5;28;5;7829;204106312;2017-02-22;688;48;2017-02-22;390;2012-02-18;0;0;1831;1823;228;162;2229;0;0;FALSE
7859;70061;51;"auraphp/Aura.View";"PHP";2011-04-16;"2017-02-02";32588;1;1;1;"2012-02-16";"2015-03-27";1;264;3;13;5;7859;197709886;2017-02-02;403;8;2017-02-02;265;2012-02-18;0;0;1811;1135;236;29;2523;0;0;FALSE
7866;2002285;8;"nesQuick/PHP-Metrics-Client";"PHP";2012-02-18;"2015-02-25";80245;1;1;1;"2012-02-18";"2014-12-18";1;17;1;4;3;7866;52196694;2015-02-25;39;3;2015-02-25;22;2012-02-18;0;0;1103;1034;19;3;2215;0;0;FALSE
8113;681781;13;"joschi/JadConfig";"Java";2011-08-30;"2016-08-03";64709;1;1;1;"2012-02-22";"2015-10-27";1;238;1;7;3;8113;149442929;2016-08-03;214;3;2016-08-03;103;2012-02-22;0;0;1624;1343;101;2;2387;0;0;FALSE
8118;1467534;10;"jcayzac/stringformat.js";"JavaScript";2012-02-19;"2016-02-16";72694;1;1;1;"2012-02-22";"2014-05-26";1;12;2;2;2;8118;109535082;2016-02-16;41;3;2016-02-16;14;2012-02-22;0;0;1455;824;10;4;2214;0;0;FALSE
8132;218719;31;"bclozel/springmvc-router";"Java";2012-05-23;"2014-01-04";42818;1;1;1;"2012-02-22";"2014-03-09";0;261;3;4;3;8132;16366188;2014-01-04;230;11;2014-07-04;87;2012-02-22;0;1;682;746;87;0;2120;1;181;TRUE
8139;1951560;13;"jaredhanson/passport-runkeeper";"JavaScript";2011-11-29;"2013-01-25";64840;1;1;1;"2012-02-22";"2013-01-25";1;45;1;2;3;8139;4380190;2013-01-25;10;1;2013-01-25;6;2012-02-22;0;0;338;338;6;0;2296;0;0;FALSE
8212;399149;87;"steeve/python-lz4";"C";2012-01-31;"2016-03-02";23940;1;1;1;"2012-02-23";"2013-08-01";1;272;2;6;6;8212;113204541;2016-03-02;62;7;2014-07-28;61;2012-02-29;0;0;1463;525;28;33;2233;0;-583;FALSE
8731;1580476;7;"rajbot/surt";"Python";2012-01-09;"2015-09-13";84812;1;1;1;"2012-02-29";"2014-11-20";1;35;1;5;3;8731;80116048;2015-09-13;43;3;2014-11-20;25;2012-02-29;0;0;1292;995;23;2;2255;0;-297;FALSE
8742;31695;19;"dcrosta/keystone";"Python";2011-11-19;"2013-05-23";53986;1;1;1;"2012-02-28";"2012-06-07";1;104;1;5;4;8742;7445096;2013-05-23;94;2;2013-05-23;17;2012-02-29;0;0;449;100;15;2;2306;0;0;FALSE
8751;246868;7;"cho45/tasscss";"JavaScript";2012-02-23;"2012-03-02";84455;1;1;1;"2012-02-29";"2012-02-29";1;17;1;1;1;8751;776556;2012-03-02;53;3;2012-03-02;10;2012-02-29;0;0;2;0;10;0;2210;0;0;FALSE
8772;1077860;4;"victorenator/http-link";"JavaScript";2012-02-23;"2012-03-02";105468;1;1;0;"2012-02-29";"2012-02-29";0;35;2;2;1;8772;778784;2012-03-02;15;3;2013-09-18;3;2012-02-29;1;1;2;0;3;0;2210;1;565;TRUE
8801;283158;6;"jherdman/airship";"JavaScript";2012-02-17;"2015-01-29";89933;1;1;1;"2012-02-19";"2013-05-17";1;31;1;3;4;8801;48784664;2015-01-29;33;4;2015-01-29;27;2012-02-29;0;0;1065;453;24;3;2216;0;0;FALSE
