probability type
0.016154205850456578 All
0.016194499162527767 All
0.016135514208967156 All
0.016173871699118353 All
0.027821355016928312 All
0.016726743059156786 All
0.016101486507465505 All
0.02351604710993947 All
0.01614908943250145 All
0.01603432714430017 All
0.21728536048070152 All
0.016082562806755206 All
0.016178807670531377 All
0.03434217226602144 All
0.016098866549816536 All
0.01608313980272353 All
0.01707551766981848 All
0.016089326165302734 All
0.018290060686440818 All
0.016082228035569593 All
0.0162459357244689 All
0.016158706589636466 All
0.028136258282446588 All
0.016171289644353045 All
0.01603432714430017 All
0.016104888120179732 All
0.016097471916991454 All
0.02342092519680928 All
0.01789157283404571 All
0.016384898505804674 All
0.02202686683046415 All
0.017150149190108783 All
0.01603432714430017 All
0.01603432714430017 All
0.21776822316319183 All
0.016133422016451817 All
0.01657020665398412 All
0.01614412617681596 All
0.016101753941644474 All
0.01619027284773939 All
