['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/39', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/38', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/37', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/36', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/35', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/34', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/33', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/32', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/31', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/30', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/29', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/28', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/27', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/26', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/25', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/24', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/23', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/22', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/21', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/20', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/19', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/18', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/17', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/16', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/15', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/14', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/13', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/12', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/11', [0.0, 0.0935107838045812, 0, 0.0, 0.0, 0, 0, 0], 0.025790047991333317, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/10', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/9', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/8', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/7', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/6', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/5', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/4', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/3', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/2', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/68', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/vwms/incubator-superset/pull/1', 'https://github.com/airbnb/incubator-superset/pull/64', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
