['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/12', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/umpirsky/symfony/pull/1', [0.004602111134167309, 0.0521720371616283, 0, 0.0, 0.0, 0, 0, 1.0], 0.028822266344461406, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/sellingsource/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/schmittjoh/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/yethee/symfony/pull/1', [0.049012138829108605, 0.04019593824395279, 0, 0.0, 0.0, 0, 0, 1.0], 0.031466052443145945, False]
['https://github.com/ro0NL/symfony/pull/1', 'https://github.com/vicb/symfony/pull/1', [0.0, 0.00909224706360262, 0, 0, 0.0, 0, 0, 0], 0.02299847722660503, False]
['https://github.com/ogizanagi/symfony/pull/1', 'https://github.com/ro0NL/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/ogizanagi/symfony/pull/1', 'https://github.com/umpirsky/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/ogizanagi/symfony/pull/1', 'https://github.com/sellingsource/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/ogizanagi/symfony/pull/1', 'https://github.com/schmittjoh/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/ogizanagi/symfony/pull/1', 'https://github.com/yethee/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/ogizanagi/symfony/pull/1', 'https://github.com/vicb/symfony/pull/1', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/aanchalgera/symfony/pull/1', 'https://github.com/ro0NL/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/aanchalgera/symfony/pull/1', 'https://github.com/kevin-verschaeve/symfony/pull/1', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/aanchalgera/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/17', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/aanchalgera/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/16', [0.0, 0.0, 0, 0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/aanchalgera/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/15', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/aanchalgera/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/14', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/aanchalgera/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/13', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/aanchalgera/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/11', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/aanchalgera/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/10', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
['https://github.com/aanchalgera/symfony/pull/1', 'https://github.com/nicolas-grekas/symfony/pull/9', [0.0, 0.0, 0, 0.0, 0.0, 0, 0, 0], 0.022732427988779447, False]
