,,,,,,title,desc,code,file_list,location,pattern,,
facebook/react,7361,4504,0.8014,1,N/A,0.2158,0.3728,0,0,0,1,https://www.github.com/facebook/react/pull/7361,https://www.github.com/facebook/react/pull/4504
facebook/react,3580,3221,0.7978,1,N/A,0.1388,0.0262,0.5391,0.5,0.1884,0,https://www.github.com/facebook/react/pull/3580,https://www.github.com/facebook/react/pull/3221
facebook/react,1601,1305,0.7883,1,N/A,0.3663,0.987,0.2026,0.25,0,-1,https://www.github.com/facebook/react/pull/1601,https://www.github.com/facebook/react/pull/1305
facebook/react,7564,6387,0.7834,1,N/A,0.6662,0,0,0,0,0,https://www.github.com/facebook/react/pull/7564,https://www.github.com/facebook/react/pull/6387
facebook/react,5931,5514,0.7832,1,N/A,0.6592,0.0262,0,0,0,0,https://www.github.com/facebook/react/pull/5931,https://www.github.com/facebook/react/pull/5514
facebook/react,5997,5744,0.7781,1,N/A,0.0024,0.0456,0.482,1,0,-1,https://www.github.com/facebook/react/pull/5997,https://www.github.com/facebook/react/pull/5744
facebook/react,13172,9725,0.7706,1,N/A,0.4979,0.6456,0,0,0,0,https://www.github.com/facebook/react/pull/13172,https://www.github.com/facebook/react/pull/9725
facebook/react,11534,10599,0.7673,1,N/A,0.5891,0.2563,0,0,0,0,https://www.github.com/facebook/react/pull/11534,https://www.github.com/facebook/react/pull/10599
facebook/react,8590,7819,0.7611,1,N/A,0.556,0.373,0,0,0,0,https://www.github.com/facebook/react/pull/8590,https://www.github.com/facebook/react/pull/7819
facebook/react,4098,382,0.7551,1,N/A,0.5717,0.2943,0,0,0,0,https://www.github.com/facebook/react/pull/4098,https://www.github.com/facebook/react/pull/382
facebook/react,9555,6874,0.7542,1,N/A,0.6579,0.3002,0,0,0,-1,https://www.github.com/facebook/react/pull/9555,https://www.github.com/facebook/react/pull/6874
facebook/react,9225,9138,0.7441,1,N/A,0.6978,0,0,0,0,-1,https://www.github.com/facebook/react/pull/9225,https://www.github.com/facebook/react/pull/9138
facebook/react,5640,1510,0.7382,1,N/A,0.5859,0.1552,0,0.0339,0,0,https://www.github.com/facebook/react/pull/5640,https://www.github.com/facebook/react/pull/1510
facebook/react,8345,6101,0.7279,1,N/A,0.4981,0.5277,0,0,0,0,https://www.github.com/facebook/react/pull/8345,https://www.github.com/facebook/react/pull/6101
